id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
156165766,5192592687203,"Ổ Cắm Du Lịch Đa Năng Thông Minh Phích Cắm Chuyển Đổi Bugu HHT931 1, Thông số kỹ thuật: Thương hiệu: buguModel: HHT931Loại: Công cụ chuyển đổi ổ cắm đa quốc giaSố chấu: 3D...",118680,129000,,10320,8,41,,available,,1000,1000,,568631,Bugu
48045630,8111055666089,Panasonic là thương hiệu nổi tiếng thế giới chuyên sản xuất các dòng pin gắn trong. Mang lại hiệu suất tuyệt vời cho thiết bị đồng thời bảo vệ môi trườngVới công nghệ NHẬT BẢN Pin CR2032 sẽ mang lại ...,90000,100000,,10000,10,553,,available,,1000,1000,,18804,Panasonic
17423771,1693054414764,Hàng năm có khoảng 600 triệu viên pin bị vứt bỏ. Số lượng pin này xếp dài ra sẽ tương đương quãng đường từ Anh sang Úc!Pin có nhiều loại với nhiều kích thước khác nhau: Có viên pin có kích thước chỉ n...,75000,90000,,15000,17,592,,available,,1000,1000,,18804,Panasonic
188375839,2369634218983,"Khăn tắm Khăn lau mặt Cotton 100% Mềm Êm Dày dặn Màu trơn Nhấn viền họa tiết 74x33cmChi tiết sản phẩm:Kích thước: 74x33cmMàu sắc: Xanh ngọc, Trắng, Hồng, Xanh dương, Ghi nhạt, Xanh thanTrọn lượng:...",53000,53000,,0,0,37,,available,,1000,1000,,4554495,CHIKIGON
120759154,6781039495608,  ...,25000,25000,,0,0,116,,available,,1000,1000,,111461,OEM
182971940,7966240754631,Bình giữ nhiệt LocknLock có 2 nắp thay thế New Clip Tumbler 540ml LHC4279 có cấu trúc tường đôi cho hiệu quả cách nhiệt và giữ mát xuất sắc cũng như ngăn ngừa được việc đọng nước ngoài thành bình.Ha...,257000,520000,,263000,51,186,,available,,1000,1000,,48077,LocknLock
192120961,6164388733925,"Túi Zip Lụa Nhựa CPE Trong Mờ Có Khóa Kéo Đa NăngTúi zip lụa được làm từ nhựa CPE dẻo dai, bền chắc có thể tái sử dụng nhiều lần trong lâu dài. Túi có khóa kéo nhựa kín giúp bảo quản được nhiều vật d...",41000,41000,,0,0,29,,available,,1000,1000,,5706641,NAVIVU
71924330,8126161754070,"Bộ Chổi Quét Nhà Gồm 1 Cây Chổi + 1 Dụng Cụ Hốt Lock&Lock ETM465 là sản phẩm vô cùng tiện ích, thay thế cho cây chổi quét bình thường thân inox nhỏ , nhẹ dễ luồn lách nhẹ nhàng đến các khe hẹp: bà...",254000,428000,,174000,41,326,,available,,1000,1000,,48077,LocknLock
52504270,2215202432605,"Chiếu Mây Điều Hòa Cao CấpChiếu mây điều hòa hay còn gọi là chiếu sợi mây điều hòa nguyên bản được làm từ chất liệu là các sợi mây đan vào nhau, mặt dưới là lớp lót bằng vải không, viền xung quanh ch...",195000,229000,,34000,15,612,,available,,1000,1000,,697923,LIDACO
182786661,1118186167166,"Bạn muốn ngủ một giấc thật sâu và dài, sau một tuần làm việc mệt mỏi nhưng bị làm phiền bởi ánh sáng mặt trời, bạn hãy dùng ngay bịt mắt ngủ này để giúp giấc ngủ của bạn được kéo dài thêm nhé.Miếng b...",61000,115000,,54000,47,35,,available,,1000,1000,,4401579,SHOFUKA
185653590,3926774620116,"- Chăn hè thường có màu sắc dịu mát, tươi trẻ, là sự lựa chọn thông minh cho phòng ngủ của bạn. Chăn còn có thiết kế nhỏ gọn, tiện dụng cho di chuyển, mang đến nơi làm việc như văn phòng, công sở dùng...",229000,289000,,60000,21,47,,available,,1000,1000,,697923,LIDACO
892121,8567702194984,"Pin Max 8 + 4 Viên Energizer E91 BP8+4 AA là sản phẩm có thể sử dụng cho các loại máy ảnh, điều khiển từ xa, đèn Pin, máy chơi game không dây, máy nghe nhạc MP3 và các thiết bị kỹ thuật số cá nhân kh...",136800,136800,,0,0,294,,available,,1000,1000,,19312,Energizer
117353723,8574020376721,"Chiếu ngủ văn phòng cao cấp Chất liệu nhựa 2 lớp: lớp mút và lớp bạc êm ái Gọn nhẹ, dễ dàng mang theo khi đi dã ngoại, văn phòng Xếp gọn và vệ sinh dễ dàng Cho giấc ngủ trưa ngon, không nóng bức  ...",40000,40000,,0,0,272,,available,,1000,1000,,293033,Krishna
32178075,8059080958444,"  Bộ Nồi Inox 4 Đáy Nagakawa NAG1304 bao gồm 3 nồi với 3 kích thước: 160mm; 200mm; 240mm.Thiết kế thân nồi thẳng cao, đơn giản, rất đẹp mắt với màu inox sáng bóng, được làm bằng chất liệu inox cao...",403000,700000,,297000,42,294,,available,,1000,1000,,110935,Nagakawa
71111080,1339941558226,"Kệ Để Giày Dép Inox 5 Tầng Chính Hãng Amalife, Giá Để Giày Inox 5 Tầng - Chọn MàuMô Tả Chi Tiết - Kệ Để Giày Dép 5 Tầng Chính Hãng Amalife - Chọn Màu:Kệ Để Giày Dép Inox 5 Tầng, Giá Để Giày Inox...",127000,169000,,42000,25,259,,available,,1000,1000,,456351,Amalife
191918107,1171170118704,Dung tích bình lớn Bình lắc LocknLock Balance Shake It Bottle HAP949 với dung tích bình 800ml giúp cung cấp đầy đủ lượng nước cho cơ thể. Thang đo lường Vạch chia dung tích trên thân bình cho phép ...,133000,267000,,134000,50,41,,available,,1000,1000,,48077,LocknLock
201112268,9060045217250,"Thảm Nhà Bếp Siêu Thấm Dễ Dàng Vệ Sinh, Thảm Silicon 4 Lớp NAVIVU Đóng gói:  1 (một) thảm chùi chân silicon️ Tính năng Siêu hút nước nhanh Không bị ẩm Dễ dàng vệ sinh Chống trượt an toàn cho người d...",129000,129000,,0,0,7,,available,,1000,1000,,5706641,NAVIVU
